date_time,currency,Today Price,Forecasted Tomorrow Price,Price Score,Today Volume,Forecasted Tomorrow Volume,Volume Score,Today Market Cap,Forecasted Tomorrow Market Cap,Market Cap Score
2022-10-13 23:29:26,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-13 23:30:21,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-13 23:37:40,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-13 23:51:17,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 00:14:18,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 00:30:47,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 00:48:05,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 00:59:53,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 01:17:47,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 01:22:22,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 01:25:52,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 01:31:56,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 01:34:43,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 01:53:39,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 02:01:02,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 02:11:06,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 02:36:45,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
2022-10-14 02:39:33,ETH_USD,1294.2710513882173,1292.9732886563995,0%,7512521119.536691,7421010483.050941,0%,156488571589.45505,156367553379.69583,0%
